site,grassType,lat,lon,spNum,n,soc,pr_growing,srad_growing,vpd_growing,tmean_growing,p,soilMoist,soilBD,agb,BGB_0_10,BGB_10_20,BGB_20_30,BGB_0_30,prop_top10,AGB_BGB_0_30,AGB_BGB_0_10,NIRveos
NMG-P017,Temperate steppe,36.825778,107.137917,6,0.100472,0.682585,74.44444444,2178.777778,98.22222222,19.75,0.271312,10.55555556,1.25,104.383333,1804.44,596.28,635.91,3036.63,202.5529725,29.09113852,17.28666779,274.0360107
XJYL-P135,Temperate steppe,43.158987,81.458222,11,0.463985,4.08111,38.22222222,2370.777778,127.1111111,17.13888889,1.298657,83.66666667,1.121533,130.08,1202.25,581.19,253.33,2036.77,145.5529725,15.65782595,9.242389299,274.0450134
XJYL-P127,Temperate steppe,42.677593,81.097105,12,0.352385,2.943353,47.44444444,2334,77.55555556,11.51666667,0.797437,58,1.0126,172.266667,1028.23,291,149.72,1468.95,76.55297247,8.527186516,5.968827388,274.2941895
XJYL-P035,Desert steppe,43.937495,82.040052,6,0.220915,1.861242,32.66666667,2374.222222,162.1111111,20.52777778,0.725358,45.88888889,1.249,137.67,1782.82,1267.2,1248.42,4298.44,261.5529725,31.22277911,12.94995279,274.3493958
ALT-095,Mountain meadows,47.966667,88.183333,9,0.299813,2.731844,24.88888889,2245.888889,87.33333333,13.15555556,1.007574,35.44444444,1.345233,146.146,1917.483483,,,,,,13.12032819,274.3753967
XJYL-P084,Temperate steppe,43.100745,82.686964,11,0.23417,2.029004,39.88888889,2346.777778,103.3333333,15.87777778,0.257732,8.555555556,1.047,374.946667,1286.6,635.5,348.66,2270.76,46.55297247,6.056221324,3.431421355,274.4093628
NMG-P048,Temperate steppe,41.464472,109.974889,7,0.121119,0.849166,52.22222222,2401.777778,136.2222222,18.26666667,0.814668,50.44444444,1.41,71.196667,1197.44,410.19,225.39,1833.02,192.5529725,25.74586813,16.81876484,274.4180908
ALT-225,Temperate steppe,43.55,93.366667,11,0.092255,0.709872,21.33333333,2385.555556,115.2222222,14.59444444,0.413862,16.55555556,1.657933,341.9,1622.505695,,,,,,4.745556288,274.5041199
NMG-P172,Temperate steppe,49.493306,117.701889,6,0.110378,0.925443,62.88888889,2137.777778,95.77777778,17.2,0.311923,30.55555556,1.25,309,973.02,369.92,196.81,1539.75,33.55297247,4.983009709,3.148932039,274.5520325
NMG-P162,Lowland meadows,47.7055,119.294361,7,0.080147,0.703192,72.88888889,2111.333333,80.33333333,15.53333333,0.414732,45.88888889,1.41,128.156667,783.69,305.62,160.9,1250.21,92.55297247,9.755325488,6.115093489,274.5994263
NMG-P059,Temperate steppe,39.994972,112.720194,7,0.05281,0.451511,84.55555556,2340.111111,100.2222222,17.18888889,0.894314,35.55555556,1.48,227.179167,1324.42,465.07,142.25,1931.74,75.55297247,8.503156454,5.829847946,274.7540588
ALT-040,Lowland meadows,48.083333,85.916667,7,0.018323,0.099239,33.77777778,2340.222222,144.5555556,19.84444444,0.240715,52.33333333,1.5545,447.6,1432.974797,,,,,,3.201462907,274.9392395
XJYL-P053,Mountain meadows,43.67282,84.409561,11,0.693517,7.495151,73.33333333,2181.444444,31.66666667,5.994444444,1.000943,47.66666667,0.427067,192.666667,1596.58,793.74,568.68,2959,142.5529725,15.35813146,8.286747391,274.9493408
XJYL-P112,Desert steppe,43.244015,81.982072,11,0.18084,1.123878,30.33333333,2395.111111,142.4444444,19.42777778,0.953968,26.66666667,1.3682,153.546667,1554.04,885.01,449.16,2888.21,239.5529725,18.80998172,10.12096212,274.9992065
NMG-P050,Temperate steppe,41.678417,110.225639,5,0.159103,1.299072,48.22222222,2419.222222,138.3333333,18.27222222,0.326613,25.11111111,1.47,96.916667,1149.7,442.99,405.64,1998.33,168.5529725,20.6190541,11.86276866,275.102417
NMG-P150,Temperate steppe,45.659778,116.777028,8,0.273554,2.581181,33.55555556,2300.888889,112.5555556,17.57222222,0.277765,8.222222222,1.22,273.173333,1292.27,422.2,239.03,1953.5,62.55297247,7.15113726,4.730586203,275.2728271
NMG-P040,Temperate steppe,39.849389,109.787139,4,0.083115,0.658124,75.11111111,2353.666667,116.4444444,18.74444444,0.321176,10.77777778,1.45,212.53,651.49,451.11,551.46,1654.06,71.55297247,7.782713029,3.065402531,275.275177
XJYL-P041,Temperate steppe,43.734359,82.599032,9,0.203233,1.660835,35.11111111,2381.777778,143.8888889,19.49444444,0.447351,62.11111111,1.248133,120.156667,1359.17,490.41,119.19,1968.77,146.5529725,16.38502506,11.31164865,275.275177
NMG-P075,Desert steppe,44.315861,112.084417,3,0.060958,0.409772,25.55555556,2441.111111,154.5555556,19.68333333,0.184218,5.333333333,1.7,10.116667,98.39,40.94,11.59,150.92,138.5529725,14.91795667,9.7255351,275.3456726
NMG-P112,Temperate steppe,43.528222,118.608222,8,0.079588,0.519046,57,2356.333333,126.8888889,20.32222222,0.2805,195.3333333,1.18,142.18,1021.09,277.68,115.94,1414.71,94.55297247,9.950133633,7.181671121,275.6567383
NMG-P092,Desert steppe,43.74525,113.497194,4,0.089549,0.637759,31.22222222,2434.555556,159.6666667,19.98333333,0.319302,5.222222222,1.63,135.7,600.51,580.04,110.75,1291.3,220.5529725,9.515843773,4.425276345,275.8356628
ALT-143,Lowland meadows,46.383333,88.7,6,0.080395,0.672282,16.55555556,2356.333333,154.7777778,19.82777778,0.709203,16.33333333,1.167833,395.55,1154.503278,,,,,,2.918729056,275.9204407
