grassType,AGB_BGB_0_10,NIRveos,spNum,shannon_mean,simpson_dominance_mean,evenness_mean
Temperate steppe,0.578067306,292.1401062,6,0.67932668,0.667559695,0.47
Desert steppe,12.04072687,296.5585938,6,0.458677887,0.754718396,0.47
Lowland meadows,10.77944459,277.0294189,6,0.553319237,0.72652141,0.46
Temperate steppe,5.901937856,280.6516418,8,0.530295025,0.839876543,0.45
Mountain meadows,5.006347821,295.5174561,6,0.624054255,0.674929825,0.45
Mountain meadows,13.34455965,268.943512,11,0.855757623,0.642296584,0.44
Temperate steppe,2.144951246,272.8166351,6,0.494921822,0.752647538,0.44
Temperate steppe,8.312190849,260.4626465,8,0.601218904,0.78066638,0.43
Mountain meadows,4.858762632,268.9577942,11,0.761092586,0.6534,0.42
Temperate steppe,16.54005993,268.6051941,5,0.445760475,0.75198245,0.53
Temperate steppe,16.74151774,273.3868713,5,0.876466268,0.51517276,0.72
Temperate steppe,13.73619599,265.8544617,6,0.342955172,0.769275209,0.41
Desert steppe,16.80259951,286.9917603,4,0.489898084,0.841851852,0.6
Desert steppe,18.0413415,292.9131165,7,0.404593785,0.720696712,0.41
Desert steppe,4.610921872,272.3901672,6,0.619924077,0.779548148,0.39
Temperate steppe,14.85326851,272.890564,8,0.612847345,0.732205556,0.39
Desert steppe,16.85119549,287.3551636,5,0.299028792,0.849910215,0.36
Desert steppe,17.33707477,268.265625,5,0.512049891,0.846666667,0.47
Desert steppe,17.77709017,282.1856689,4,0.629445645,0.591077098,0.68
Temperate steppe,2.926964248,264.0890808,7,0.381348351,0.909567901,0.35
Desert steppe,18.6397908,269.5026855,5,0.15976822,0.978954087,0.74
Temperate steppe,19.0572181,268.1333923,5,0.843524062,0.470185185,0.89
Temperate steppe,4.477044713,269.0187683,6,0.330135918,0.842307564,0.31
Lowland meadows,21.03769602,277.2651062,5,1.127643106,0.351758711,0.88
Temperate steppe,12.03772242,273.4298401,8,0.47585717,0.830424197,0.29
Desert steppe,24.30635235,283.1821594,5,0.804408752,0.404149832,0.86
Mountain meadows,11.73477941,294.0181274,8,0.317193355,0.877491121,0.23
Desert steppe,24.33236693,286.7972717,5,0.519011679,0.708046286,0.55
Temperate steppe,4.560219436,295.7294006,7,0.256758356,0.9037,0.19
Temperate steppe,3.220648148,278.3385315,9,0.274074533,0.903433333,0.17
